Source ,Target,Distance
LDS,KLF,6219.6
LDS,BLE,5980.8
LDS,COT,3932.2
LDS,BUY,2770.5
LDS,CRG,6527.5
LDS,OUT,9138.4
LDS,WDS,8049.4
KLF,APY,5594.8
KLF,GSY,8095.5
GSY,MNN,2264
GSY,BLD,3829.5
MNN,BUW,2101
BUW,BEY,3508
BEY,ILK,1553
BLD,SHY,2266.6
APY,SHY,4484.6
SHY,FZH,1504.6
SHY,SAE,1241.6
FZH,BDQ,2755.1
SAE,BIY,3268.9
BIY,CFL,1195.1
CFL,KEI,3829.6
KEI,SON,4611.8
SON,CEY,4822.4
BLE,NPD,2851.2
NPD,BDI,4803.6
BDI,LMR,4515
LMR,HFX,7431.5
HFX,SOW,3800.5
HFX,BGH,5550.1
SOW,BGH,8524.7
SOW,MYT,5468.2
MYT,HBD,2040.4
HBD,TOD,6548.9
TOD,WDN,1963.4
BYM,TOD,12662.9
BYM,HBD,16707.6
WDN,LTL,6005.3
COT,MLY,2056.4
MLY,BTL,4883.6
BTL,DEW,2124.1
DEW,RVN,2324
RVN,MIR,2532.1
MIR,BGH,6373.4
MIR,DHN,3922.1
DHN,HUD,3053.6
BGH,DHN,3743.4
HUD,LCK,1883.6
HUD,SWT,6924.1
SWT,MSN,4025.3
MSN,GNF,9047.3
LCK,BBW,1600.8
BBW,HOY,1647.5
HOY,BHS,1449
BHS,SSM,3100.6
SSM,SPY,1353.8
SPY,DBD,3304.7
DBD,PNS,5873
BUY,HDY,1291.4
HDY,HRS,4044.8
HRS,WET,9006.2
CRG,GRF,4595.2
GRF,EGF,868.7
EGF,MIK,2962.5
MIK,SOM,5054.5
MIK,CHF,7804.4
CHF,PFR,15845.8
PFR,MRP,10783
MRP,THC,5519.1
OUT,WKF,3676.2
WKF,SNA,2687.7
WKF,WKK,1208.4
SNA,FZW,7832.4
FZW,SES,7215.5
SES,AWK,7436
WDS,CFD,6902.2
CFD,GLH,1891.3
GLH,PFM,2744.8
PFM,KNO,3095.5
PFM,DON,22461.5
KNO,WBD,6657.5
PFM,POT,1101.2
POT,FEA,3120.9
FEA,SHC,2726.4
SHC,WKK,5894.3
CFD,NOR,5240.5
NOR,WKK,4950.5
WKK,MIR,13545.8
WKK,DRT,10469.7
DRT,BNY,5153.1
