ID,Station_Name,District,ITL_Region,Eastings ,Northings,Entries_and_Exits,No_of_Interchanges,National_Ranking
BLE,Bramley (West Yorkshire),Leeds,TLE4,424006,434397,195548,0,1160
NPD,New Pudsey,Leeds,TLE4,421156,434316,401868,0,769
BDI,Bradford Interchange,Bradford,TLE4,416619,432738,1762388,88951,215
LMR,Low Moor,Bradford,TLE4,416428,428227,151712,0,1280
HFX,Halifax,Calderdale,TLE4,409758,424950,1165010,49706,326
SOW,Sowerby Bridge,Calderdale,TLE4,406245,423500,273896,0,957
MYT,Mytholmroyd,Calderdale,TLE4,401309,425853,135562,0,1353
HBD,Hebden Bridge,Calderdale,TLE4,399508,426812,569720,26139,610
TOD,Todmorden,Calderdale,TLE4,393517,424167,431194,0,735
WDN,Walsden,Calderdale,TLE4,393184,422232,64848,0,1731
BYM,Burnley Manchester Road,Burnley,TLD4,383668,432126,421608,7060,747
LTL,Littleborough,Rochdale,TLD3,393825,416261,259146,0,994
COT,Cottingley,Leeds,TLE4,427269,430266,51756,0,1837
MLY,Morley,Leeds,TLE4,427035,428223,285882,0,929
BTL,Batley,Kirklees,TLE4,424984,423791,240882,0,1030
DEW,Dewsbury,Kirklees,TLE4,424300,421780,1061344,0,351
RVN,Ravensthorpe,Kirklees,TLE4,422851,419963,31784,0,2028
MIR,Mirfield,Kirklees,TLE4,420362,419498,323316,24263,871
DHN,Deighton,Kirklees,TLE4,416458,419122,51318,0,1844
HUD,Huddersfield,Kirklees,TLE4,414330,416932,3041816,377905,106
SWT,Slaithwaite,Kirklees,TLE4,407978,414176,186006,0,1178
MSN,Marsden (Yorks),Kirklees,TLE4,404685,411861,138036,0,1344
BGH,Brighouse,Calderdale,TLE4,414702,422428,287364,0,925
GNF,Greenfield,Oldham,TLD3,399166,404692,278922,0,946
LCK,Lockwood,Kirklees,TLE4,413270,415375,32398,0,2020
BBW,Berry Brow,Kirklees,TLE4,413760,413851,21828,0,2138
HOY,Honley,Kirklees,TLE4,414597,412432,34516,0,1999
BHS,Brockholes,Kirklees,TLE4,415335,411185,31306,0,2033
SSM,Stocksmoor,Kirklees,TLE4,418420,410874,19480,0,2161
SPY,Shepley,Kirklees,TLE4,419638,410283,52358,0,1833
PNS,Penistone,Barnsley,TLE3,425117,403276,127012,0,1391
DBD,Denby Dale,Kirklees,TLE4,422414,408490,119116,0,1428
LDS,Leeds,Leeds,TLE4,429869,433216,19263472,1797861,11
KLF,Kirkstall Forge,Leeds,TLE4,424661,436616,171986,0,1218
APY,Apperley Bridge,Bradford,TLE4,419383,438472,263090,0,986
SHY,Shipley (Yorks),Bradford,TLE4,415003,437509,1004806,269880,365
FZH,Frizinghall,Bradford,TLE4,415305,436035,340982,0,847
BDQ,Bradford Forster Square,Bradford,TLE4,416353,433487,1301266,27144,286
SAE,Saltaire,Bradford,TLE4,413885,438049,547320,0,622
BIY,Bingley,Bradford,TLE4,410815,439172,806822,0,460
CFL,Crossflatts,Bradford,TLE4,410314,440257,317100,0,879
KEI,Keighley,Bradford,TLE4,406625,441285,1150000,681,332
SON,Steeton and Silsden,Bradford,TLE4,403730,444875,445330,0,720
CEY,Cononley,Craven,TLE2,399312,446808,126036,0,1396
SKI,Skipton,Craven,TLE2,398424,451362,943886,6321,395
SET,Settle,Craven,TLE2,381715,463477,118306,0,1434
LAN,Lancaster,Lancaster,TLD4,347212,461744,1659362,261186,232
BLD,Baildon,Bradford,TLE4,416304,439365,206774,0,1125
