Source ,Target,Distance
LDS,KLF,6219.6
LDS,BLE,5980.8
LDS,COT,3932.2
LDS,BUY,2770.5
LDS,CRG,6527.5
KLF,APY,5594.8
KLF,GSY,8095.5
GSY,MNN,2264.0
GSY,BLD,3829.5
MNN,BUW,2101.0
BUW,BEY,3508.0
BEY,ILK,1553.0
BLD,SHY,2266.6
APY,SHY,4484.6
SHY,FZH,1504.6
SHY,SAE,1241.6
FZH,BDQ,2755.1
SAE,BIY,3268.9
BIY,CFL,1195.1
CFL,KEI,3829.6
KEI,SON,4611.8
SON,CEY,4822.4
CEY,SKI,4639.8
BLE,NPD,2851.2
NPD,BDI,4803.6
BDI,LMR,4515.0
LMR,HFX,7431.5
HFX,SOW,3800.5
HFX,BGH,5550.1
SOW,BGH,8524.7
SOW,MYT,5468.2
MYT,HBD,2040.4
HBD,TOD,6548.9
TOD,WDN,1963.4
COT,MLY,2056.4
MLY,BTL,4883.6
BTL,DEW,2124.1
DEW,RVN,2324.0
RVN,MIR,2532.1
MIR,BGH,6373.4
MIR,DHN,3922.1
DHN,HUD,3053.6
HUD,SWT,6924.1
HUD,LCK,1883.6
HUD,BGH,5508.6
SWT,MSN,4025.3
LCK,BBW,1600.8
BBW,HOY,1647.5
HOY,BHS,1449.0
BHS,SSM,3100.6
SSM,SPY,1353.8
SPY,DBD,3304.7
BUY,HDY,1291.4
HDY,HRS,4044.8
HRS,WET,9006.2
WET,PNL,5038.5
PNL,HBP,2464.8
HBP,HGT,1581.1
CRG,GRF,4595.2
GRF,EGF,868.7
EGF,MIK,2962.5
